id,date,est_date,time_point,year,month,season,phase,exp_year,julian,dss,site,slope,fert,treat,strip,rot_phs,comb_id,man_id,crop_id,crop,TOY,seed,seed_rate,n_added,dclass,d_from,d_to,bd,c_conc,soc,n_conc,sn,rep
,,,,1986,,,,,,,1,3,,5,14,,,,,,,,,,3,5,10,1.31,1.0759,7.047145,0.1318,0.86329,1
,,,,1986,,,,,,,1,3,,5,14,,,,,,,,,,4,10,20,1.47,0,0,0.0936,1.37592,1
,,,,1986,,,,,,,1,1,,6,15,,,,,,,,,,1,0,2.5,1.16,1.262,3.6598,0.0354,0.10266,1
,,,,1986,,,,,,,1,1,,6,15,,,,,,,,,,2,2.5,5,1.17,1.01,2.95425,0.0435,0.1272375,1
,,,,1986,,,,,,,1,1,,6,15,,,,,,,,,,3,5,10,1.53,0.826,6.3189,0.0478,0.36567,1
,,,,1986,,,,,,,1,1,,6,15,,,,,,,,,,4,10,20,1.41,0.826,11.6466,0.0417,0.58797,1
,,,,1986,,,,,,,1,2,,6,15,,,,,,,,,,1,0,2.5,1.3,1.078,3.5035,0.0429,0.139425,1
,,,,1986,,,,,,,1,2,,6,15,,,,,,,,,,2,2.5,5,1.28,0.987,3.1584,0.032,0.1024,1
,,,,1986,,,,,,,1,2,,6,15,,,,,,,,,,3,5,10,1.43,0.964,6.8926,0.01,0.0715,1
,,,,1986,,,,,,,1,2,,6,15,,,,,,,,,,4,10,20,1.34,0.895,11.993,0.0497,0.66598,1
,,,,1986,,,,,,,1,3,,6,15,,,,,,,,,,1,0,2.5,1.15,1.445,4.154375,0.0588,0.16905,1
,,,,1986,,,,,,,1,3,,6,15,,,,,,,,,,2,2.5,5,1.17,0,0,0.0405,0.1184625,1
,,,,1986,,,,,,,1,3,,6,15,,,,,,,,,,3,5,10,1.31,1.147,7.51285,0.0699,0.457845,1
,,,,1986,,,,,,,1,3,,6,15,,,,,,,,,,4,10,20,1.47,0.734,10.7898,0,0,1
,,,,1986,,,,,,,1,1,,7,16,,,,,,,,,,1,0,2.5,1.16,0.85,2.465,0.0903,0.26187,1
,,,,1986,,,,,,,1,1,,7,16,,,,,,,,,,2,2.5,5,1.17,0.79,2.31075,0.0988,0.28899,1
,,,,1986,,,,,,,1,1,,7,16,,,,,,,,,,3,5,10,1.53,0.71,5.4315,0.075,0.57375,1
,,,,1986,,,,,,,1,1,,7,16,,,,,,,,,,4,10,20,1.41,0,0,0.0952,1.34232,1
,,,,1986,,,,,,,1,2,,7,16,,,,,,,,,,1,0,2.5,1.3,0.81,2.6325,0.0938,0.30485,1
,,,,1986,,,,,,,1,2,,7,16,,,,,,,,,,2,2.5,5,1.28,0.79,2.528,0.0938,0.30016,1
,,,,1986,,,,,,,1,2,,7,16,,,,,,,,,,3,5,10,1.43,0.79,5.6485,0.096,0.6864,1
,,,,1986,,,,,,,1,2,,7,16,,,,,,,,,,4,10,20,1.34,0,0,0.0952,1.27568,1
,,,,1986,,,,,,,1,3,,7,16,,,,,,,,,,1,0,2.5,1.15,1.35,3.88125,0.0988,0.28405,1
,,,,1986,,,,,,,1,3,,7,16,,,,,,,,,,2,2.5,5,1.17,1.31,3.83175,0.1202,0.351585,1
,,,,1986,,,,,,,1,3,,7,16,,,,,,,,,,3,5,10,1.31,1.12,7.336,0.1216,0.79648,1
,,,,1986,,,,,,,1,3,,7,16,,,,,,,,,,4,10,20,1.47,0,0,0.1344,1.97568,1
,,,,1986,,,,,,,1,1,,1,17,,,,,,,,,,1,0,2.5,1.16,0.987,2.8623,0.0021,0.00609,1
,,,,1986,,,,,,,1,1,,1,17,,,,,,,,,,2,2.5,5,1.17,0.895,2.617875,0.0115,0.0336375,1
,,,,1986,,,,,,,1,1,,1,17,,,,,,,,,,3,5,10,1.53,0.803,6.14295,0.0447,0.341955,1
,,,,1986,,,,,,,1,1,,1,17,,,,,,,,,,4,10,20,1.41,0.803,11.3223,0.0497,0.70077,1
,,,,1986,,,,,,,1,2,,1,17,,,,,,,,,,1,0,2.5,1.3,1.17,3.8025,0.0093,0.030225,1
